time,des_joint2_to_joint1,des_joint3_to_joint2,des_joint4_to_joint3,des_joint5_to_joint4,des_joint6_to_joint5,des_joint6output_to_joint6,act_joint2_to_joint1,act_joint3_to_joint2,act_joint4_to_joint3,act_joint5_to_joint4,act_joint6_to_joint5,act_joint6output_to_joint6
7.700000,0.454601,0.954464,-0.700137,0.745399,-0.354464,-0.099863,0.431273,0.927177,-0.704096,0.768727,-0.327177,-0.095904
7.750000,0.461732,0.960876,-0.700856,0.738268,-0.360876,-0.099144,0.437260,0.934793,-0.702467,0.762740,-0.334793,-0.097533
7.800000,0.469098,0.966913,-0.702185,0.730902,-0.366913,-0.097815,0.443212,0.941690,-0.701521,0.756788,-0.341690,-0.098479
7.850000,0.476655,0.972537,-0.704118,0.723345,-0.372537,-0.095882,0.449750,0.948607,-0.701143,0.750250,-0.348607,-0.098857
7.900000,0.484357,0.977715,-0.706642,0.715643,-0.377715,-0.093358,0.456593,0.955218,-0.701375,0.743407,-0.355218,-0.098625
7.950000,0.492154,0.982413,-0.709741,0.707846,-0.382413,-0.090259,0.463701,0.961486,-0.702215,0.736299,-0.361486,-0.097785
8.000000,0.500000,0.986603,-0.713397,0.700000,-0.386603,-0.086603,0.471007,0.967357,-0.703650,0.728993,-0.367357,-0.096350
8.050000,0.507846,0.990259,-0.717587,0.692154,-0.390259,-0.082413,0.478523,0.972833,-0.705690,0.721477,-0.372833,-0.094310
8.100000,0.515643,0.993358,-0.722285,0.684357,-0.393358,-0.077715,0.486308,0.977944,-0.708364,0.713692,-0.377944,-0.091636
8.150000,0.523345,0.995882,-0.727463,0.676655,-0.395882,-0.072537,0.493882,0.982394,-0.711488,0.706118,-0.382394,-0.088512
8.200000,0.530902,0.997815,-0.733087,0.669098,-0.397815,-0.066913,0.501650,0.986429,-0.715221,0.698350,-0.386429,-0.084779
8.250000,0.538268,0.999144,-0.739124,0.661732,-0.399144,-0.060876,0.509405,0.989930,-0.719475,0.690595,-0.389930,-0.080525
8.300000,0.545399,0.999863,-0.745536,0.654601,-0.399863,-0.054464,0.517065,0.992867,-0.724198,0.682935,-0.392867,-0.075802
8.350000,0.552250,0.999966,-0.752284,0.647750,-0.399966,-0.047716,0.524646,0.995239,-0.729408,0.675354,-0.395239,-0.070592
8.400000,0.558779,0.999452,-0.759326,0.641221,-0.399452,-0.040674,0.532089,0.997026,-0.735063,0.667911,-0.397026,-0.064937
8.450000,0.564945,0.998325,-0.766619,0.635055,-0.398325,-0.033381,0.539328,0.998215,-0.741113,0.660672,-0.398215,-0.058887
8.500000,0.570711,0.996593,-0.774118,0.629289,-0.396593,-0.025882,0.546302,0.998799,-0.747502,0.653698,-0.398799,-0.052498
8.550000,0.576041,0.994264,-0.781776,0.623959,-0.394264,-0.018224,0.553151,0.998763,-0.754388,0.646849,-0.398763,-0.045612
8.600000,0.580902,0.991355,-0.789547,0.619098,-0.391355,-0.010453,0.559426,0.998133,-0.761293,0.640574,-0.398133,-0.038707
8.650000,0.585264,0.987882,-0.797382,0.614736,-0.387882,-0.002618,0.565448,0.996890,-0.768559,0.634552,-0.396890,-0.031441
8.700000,0.589101,0.983867,-0.805234,0.610899,-0.383867,0.005234,0.571143,0.995021,-0.776122,0.628857,-0.395021,-0.023878
8.750000,0.592388,0.979335,-0.813053,0.607612,-0.379335,0.013053,0.576215,0.992641,-0.783573,0.623785,-0.392641,-0.016427
8.800000,0.595106,0.974314,-0.820791,0.604894,-0.374314,0.020791,0.580929,0.989637,-0.791292,0.619071,-0.389637,-0.008708
8.850000,0.597237,0.968835,-0.828402,0.602763,-0.368835,0.028402,0.585134,0.986090,-0.799044,0.614866,-0.386090,-0.000956
8.900000,0.598769,0.962932,-0.835837,0.601231,-0.362932,0.035837,0.588819,0.982004,-0.806815,0.611181,-0.382004,0.006815
8.950000,0.599692,0.956641,-0.843051,0.600308,-0.356641,0.043051,0.591954,0.977415,-0.814539,0.608046,-0.377415,0.014539
9.000000,0.600000,0.950000,-0.850000,0.600000,-0.350000,0.050000,0.594517,0.972360,-0.822157,0.605483,-0.372360,0.022157
9.050000,0.599692,0.943051,-0.856641,0.600308,-0.343051,0.056641,0.596530,0.966742,-0.829789,0.603470,-0.366742,0.029789
9.100000,0.598769,0.935837,-0.862932,0.601231,-0.335837,0.062932,0.597888,0.960941,-0.836946,0.602112,-0.360941,0.036946
9.150000,0.597237,0.928402,-0.868835,0.602763,-0.328402,0.068835,0.598672,0.954647,-0.844026,0.601328,-0.354647,0.044026
9.200000,0.595106,0.920791,-0.874314,0.604894,-0.320791,0.074314,0.598853,0.948047,-0.850806,0.601147,-0.348047,0.050806
9.250000,0.592388,0.913053,-0.879335,0.607612,-0.313053,0.079335,0.598385,0.940789,-0.857595,0.601615,-0.340789,0.057595
9.300000,0.589101,0.905234,-0.883867,0.610899,-0.305234,0.083867,0.597383,0.933933,-0.863450,0.602617,-0.333933,0.063450
9.350000,0.585264,0.897382,-0.887882,0.614736,-0.297382,0.087882,0.595736,0.926517,-0.869219,0.604264,-0.326517,0.069219
9.400000,0.580902,0.889547,-0.891355,0.619098,-0.289547,0.091355,0.593470,0.918845,-0.874625,0.606530,-0.318845,0.074625
